;instance;method;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;expl v2;14;19;26;26.9%;1.9%;1.4011330604553223;26;1989
1;C2000.5.txt;expl v2;10;14;16;12.5%;0.7%;0.6130392551422119;6;892
2;C500.9.txt;expl v2;43;55;57;3.5%;8.8%;63.5356662273407;1813;3358
3;gen400_p0.9_75.txt;expl v2;47;51;75;32.0%;4.0%;20.399779081344604;673;4082
4;p_hat1500-3.txt;expl v2;75;90;94;4.3%;3.0%;34.685192346572876;264;902
5;p_hat700-1.txt;expl v2;7;9;11;18.2%;1.7%;5.481964111328125;126;2427
